Driver,Laps,Mean,Median,Std,Best,Worst
NOR,3,92.291,92.297,0.075,92.213,92.362
PIA,4,92.284,92.302,0.132,92.107,92.425
VER,4,93.811,92.334,3.223,91.945,98.633
HAM,1,92.511,92.511,,92.511,92.511
LEC,7,92.331,92.522,0.362,91.62,92.614
RUS,8,92.909,92.893,0.342,92.471,93.47
ALO,3,93.055,93.07,0.087,92.961,93.134
ANT,5,93.037,93.143,0.224,92.669,93.216
ALB,9,93.28,93.222,0.216,92.937,93.663
BEA,3,93.397,93.328,0.178,93.263,93.599
HUL,8,98.847,93.346,19.579,88.094,146.985
STR,3,93.311,93.347,0.12,93.178,93.409
LAW,9,93.413,93.431,0.312,92.965,93.962
HAD,8,93.379,93.453,0.283,92.998,93.733
SAI,6,93.583,93.508,0.3,93.326,94.089
GAS,1,93.626,93.626,,93.626,93.626
OCO,2,93.68,93.68,0.052,93.643,93.717
COL,7,93.774,93.704,0.553,92.926,94.736
BOR,3,93.949,94.039,0.236,93.681,94.126
TSU,2,94.188,94.188,0.87,93.573,94.803
